0.00.242.557 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.573 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.242.575 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.242.674 I srv          init: The UI is disabled
0.00.242.674 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.250.721 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.322.723 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.343.356 W srv    load_model: speculative decoding not supported by this context
0.00.343.362 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.346.563 I srv  llama_server: model loaded
0.00.346.570 I srv  llama_server: listening on http://127.0.0.1:8091
2.18.301.090 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.18.301.102 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2.18.303.504 I slot      release: id  3 | task 0 | stop processing: n_tokens = 6, truncated = 0
2.18.320.730 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
2.18.320.737 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
2.18.323.726 I slot      release: id  3 | task 2 | stop processing: n_tokens = 7, truncated = 0
2.18.327.353 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
2.18.327.361 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
2.18.329.893 I slot      release: id  3 | task 4 | stop processing: n_tokens = 8, truncated = 0
2.18.332.049 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.286 (> 0.100 thold), f_keep = 0.250
2.18.332.059 I slot launch_slot_: id  3 | task 6 | processing task, is_child = 0
2.18.334.044 I slot      release: id  3 | task 6 | stop processing: n_tokens = 7, truncated = 0
2.18.336.284 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.143
2.18.336.290 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
2.18.337.720 I slot      release: id  3 | task 8 | stop processing: n_tokens = 4, truncated = 0
2.18.339.910 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.500
2.18.339.916 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
2.18.341.356 I slot      release: id  3 | task 10 | stop processing: n_tokens = 5, truncated = 0
2.18.343.272 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.200
2.18.343.281 I slot launch_slot_: id  3 | task 12 | processing task, is_child = 0
2.18.345.543 I slot      release: id  3 | task 12 | stop processing: n_tokens = 9, truncated = 0
2.18.347.944 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.556
2.18.347.951 I slot launch_slot_: id  3 | task 14 | processing task, is_child = 0
2.18.349.541 I slot      release: id  3 | task 14 | stop processing: n_tokens = 6, truncated = 0
2.18.351.322 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.167
2.18.351.331 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
